"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"St. Clair County, MI"	"26147"	7975	637051	1251.9
	"St. Joseph County, MI"	"26149"	2854	243703	1171.1
	"Sanilac County, MI"	"26151"	2198	163846	1341.5
	"Schoolcraft County, MI"	"26153"	479	32370	1479.8
	"Shiawassee County, MI"	"26155"	3233	271790	1189.5
	"Tuscola County, MI"	"26157"	2836	209339	1354.7
	"Van Buren County, MI"	"26159"	3362	302073	1113.0
	"Washtenaw County, MI"	"26161"	10053	1471510	683.2
	"Wayne County, MI"	"26163"	79894	6984482	1143.9
	"Wexford County, MI"	"26165"	1583	134583	1176.2
	"Aitkin County, MN"	"27001"	963	63484	1516.9
	"Anoka County, MN"	"27003"	9899	1430576	692.0
	"Becker County, MN"	"27005"	1594	137706	1157.5
	"Beltrami County, MN"	"27007"	1833	188919	970.3
	"Benton County, MN"	"27009"	1654	163350	1012.5
	"Big Stone County, MN"	"27011"	314	19826	1583.8
	"Blue Earth County, MN"	"27013"	2093	271562	770.7
	"Brown County, MN"	"27015"	1252	99811	1254.4
	"Carlton County, MN"	"27017"	1630	143246	1137.9
	"Carver County, MN"	"27019"	2360	421770	559.5
	"Cass County, MN"	"27021"	1465	119154	1229.5
	"Chippewa County, MN"	"27023"	668	47240	1414.1
	"Chisago County, MN"	"27025"	1945	226089	860.3
	"Clay County, MN"	"27027"	2029	257557	787.8
	"Clearwater County, MN"	"27029"	423	35662	1186.1
	"Cook County, MN"	"27031"	210	21690	968.2
	"Cottonwood County, MN"	"27033"	628	44957	1396.9
	"Crow Wing County, MN"	"27035"	2969	261232	1136.5
	"Dakota County, MN"	"27037"	11728	1718058	682.6
	"Dodge County, MN"	"27039"	639	83730	763.2
	"Douglas County, MN"	"27041"	1852	152761	1212.4
	"Faribault County, MN"	"27043"	729	54613	1334.8
	"Fillmore County, MN"	"27045"	962	84395	1139.9
	"Freeborn County, MN"	"27047"	1488	121453	1225.2
	"Goodhue County, MN"	"27049"	2130	185379	1149.0
	"Grant County, MN"	"27051"	287	24045	1193.6
	"Hennepin County, MN"	"27053"	37693	5062087	744.6
	"Houston County, MN"	"27055"	804	74442	1080.0
	"Hubbard County, MN"	"27057"	948	86389	1097.4
	"Isanti County, MN"	"27059"	1477	163420	903.8
	"Itasca County, MN"	"27061"	2261	180774	1250.7
	"Jackson County, MN"	"27063"	446	39293	1135.1
	"Kanabec County, MN"	"27065"	697	65376	1066.1
	"Kandiyohi County, MN"	"27067"	1723	172314	999.9
	"Kittson County, MN"	"27069"	262	16974	1543.5
	"Koochiching County, MN"	"27071"	676	48787	1385.6
	"Lac qui Parle County, MN"	"27073"	383	26335	1454.3
	"Lake County, MN"	"27075"	598	42577	1404.5
	"Lake of the Woods County, MN"	"27077"	189	15006	1259.5
	"Le Sueur County, MN"	"27079"	1010	114863	879.3
	"Lincoln County, MN"	"27081"	353	22448	1572.5
	"Lyon County, MN"	"27083"	947	101645	931.7
	"McLeod County, MN"	"27085"	1513	143186	1056.7
	"Mahnomen County, MN"	"27087"	291	21992	1323.2
	"Marshall County, MN"	"27089"	381	37368	1019.6
	"Martin County, MN"	"27091"	1018	78436	1297.9
	"Meeker County, MN"	"27093"	973	93045	1045.7
	"Mille Lacs County, MN"	"27095"	1332	104708	1272.1
	"Morrison County, MN"	"27097"	1489	132929	1120.1
	"Mower County, MN"	"27099"	1681	160373	1048.2
	"Murray County, MN"	"27101"	355	32780	1083.0
	"Nicollet County, MN"	"27103"	1115	137458	811.2
	"Nobles County, MN"	"27105"	795	86353	920.6
	"Norman County, MN"	"27107"	353	25526	1382.9
	"Olmsted County, MN"	"27109"	4723	633166	745.9
	"Otter Tail County, MN"	"27111"	2899	235040	1233.4
	"Pennington County, MN"	"27113"	567	56045	1011.7
	"Pine County, MN"	"27115"	1327	117780	1126.7
	"Pipestone County, MN"	"27117"	481	36415	1320.9
	"Polk County, MN"	"27119"	1516	124693	1215.8
	"Pope County, MN"	"27121"	549	44900	1222.7
	"Ramsey County, MN"	"27123"	18493	2196337	842.0
	"Red Lake County, MN"	"27125"	145	16146	898.1
	"Redwood County, MN"	"27127"	722	60577	1191.9
	"Renville County, MN"	"27129"	738	57966	1273.2
	"Rice County, MN"	"27131"	2224	267663	830.9
	"Rock County, MN"	"27133"	509	37331	1363.5
	"Roseau County, MN"	"27135"	635	60549	1048.7
	"St. Louis County, MN"	"27137"	8895	795900	1117.6
	"Scott County, MN"	"27139"	3164	597772	529.3
	"Sherburne County, MN"	"27141"	2516	390896	643.6
	"Sibley County, MN"	"27143"	570	59323	960.8
	"Stearns County, MN"	"27145"	4820	644407	748.0
	"Steele County, MN"	"27147"	1354	146644	923.3
	"Stevens County, MN"	"27149"	343	39088	877.5
	"Swift County, MN"	"27151"	453	36963	1225.5
	"Todd County, MN"	"27153"	906	98710	917.8
	"Traverse County, MN"	"27155"	248	13003	1907.3
	"Wabasha County, MN"	"27157"	823	86556	950.8
	"Wadena County, MN"	"27159"	818	55069	1485.4
	"Waseca County, MN"	"27161"	750	74403	1008.0
	"Washington County, MN"	"27163"	7370	1052593	700.2
	"Watonwan County, MN"	"27165"	521	43461	1198.8
	"Wilkin County, MN"	"27167"	350	24783	1412.3
	"Winona County, MN"	"27169"	1729	202279	854.8
	"Wright County, MN"	"27171"	3759	555224	677.0
	"Yellow Medicine County, MN"	"27173"	415	38664	1073.3
	"Adams County, MS"	"28001"	1807	122435	1475.9
	"Alcorn County, MS"	"28003"	2016	147656	1365.3
	"Amite County, MS"	"28005"	731	49033	1490.8
	"Attala County, MS"	"28007"	1115	72547	1536.9
	"Benton County, MS"	"28009"	482	33232	1450.4
	"Bolivar County, MS"	"28011"	1831	122245	1497.8
	"Calhoun County, MS"	"28013"	823	57279	1436.8
	"Carroll County, MS"	"28015"	539	39322	1370.7
	"Chickasaw County, MS"	"28017"	892	68176	1308.4
	"Choctaw County, MS"	"28019"	475	32614	1456.4
	"Claiborne County, MS"	"28021"	481	35812	1343.1
	"Clarke County, MS"	"28023"	937	61743	1517.6
	"Clay County, MS"	"28025"	990	77406	1279.0
	"Coahoma County, MS"	"28027"	1357	87880	1544.2
	"Copiah County, MS"	"28029"	1421	112474	1263.4
	"Covington County, MS"	"28031"	1173	74525	1574.0
	"DeSoto County, MS"	"28033"	6650	743496	894.4
	"Forrest County, MS"	"28035"	3498	299951	1166.2
	"Franklin County, MS"	"28037"	479	30815	1554.4
	"George County, MS"	"28039"	1269	97600	1300.2
	"Greene County, MS"	"28041"	563	54126	1040.2
	"Grenada County, MS"	"28043"	1360	83033	1637.9
	"Hancock County, MS"	"28045"	2257	190966	1181.9
	"Harrison County, MS"	"28047"	9516	832332	1143.3
	"Hinds County, MS"	"28049"	10096	924857	1091.6
	"Holmes County, MS"	"28051"	1022	68084	1501.1
	"Humphreys County, MS"	"28053"	486	31975	1519.9
	"Issaquena County, MS"	"28055"	65	5075	1280.8
	"Itawamba County, MS"	"28057"	1320	93429	1412.8
	"Jackson County, MS"	"28059"	6376	574498	1109.8
