"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Nov., 2018"	"2018/11"	53636	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Dec., 2018"	"2018/12"	56339	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Jan., 2019"	"2019/01"	58499	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Feb., 2019"	"2019/02"	52407	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Mar., 2019"	"2019/03"	57680	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Apr., 2019"	"2019/04"	53271	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"May, 2019"	"2019/05"	54104	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Jun., 2019"	"2019/06"	51010	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Jul., 2019"	"2019/07"	52210	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Aug., 2019"	"2019/08"	51933	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Sep., 2019"	"2019/09"	51381	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Oct., 2019"	"2019/10"	54933	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Nov., 2019"	"2019/11"	54953	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"Dec., 2019"	"2019/12"	58112	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Jan., 2020"	"2020/01"	60095	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Feb., 2020"	"2020/02"	55691	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Mar., 2020"	"2020/03"	60483	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Apr., 2020"	"2020/04"	66879	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"May, 2020"	"2020/05"	63471	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Jun., 2020"	"2020/06"	55962	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Jul., 2020"	"2020/07"	57425	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Aug., 2020"	"2020/08"	58803	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Sep., 2020"	"2020/09"	57565	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Oct., 2020"	"2020/10"	65257	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Nov., 2020"	"2020/11"	78273	Not Applicable	Not Applicable	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"Dec., 2020"	"2020/12"	86227	Not Applicable	Not Applicable	0.7%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	73857	Not Applicable	Not Applicable	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	57996	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	57640	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	57477	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"May, 2021 (provisional)"	"2021/05"	57746	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	54087	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	56326	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	61147	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	64192	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	66468	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	66006	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2021 (provisional and partial)"	"2021"	"Dec., 2021 (provisional and partial)"	"2021/12"	34382	Not Applicable	Not Applicable	0.3%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Jan., 2018"	"2018/01"	113993	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Feb., 2018"	"2018/02"	93640	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Mar., 2018"	"2018/03"	96486	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Apr., 2018"	"2018/04"	90609	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"May, 2018"	"2018/05"	90719	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Jun., 2018"	"2018/06"	87201	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Jul., 2018"	"2018/07"	89069	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Aug., 2018"	"2018/08"	89215	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Sep., 2018"	"2018/09"	86530	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Oct., 2018"	"2018/10"	91729	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Nov., 2018"	"2018/11"	92344	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"Dec., 2018"	"2018/12"	99430	Not Applicable	Not Applicable	0.8%
